Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2015-04-26,Woomera,10.9,18.5,0,8.6,NA,S,35,S,S,24,17,57,45,1025.6,1023.8,4,6,14.3,17,No,No
2015-04-27,Woomera,12.5,16.9,0,4.4,1.3,SE,35,SE,S,20,19,49,37,1028.2,1026.4,7,7,13.9,15.9,No,No
2011-07-28,Albury,0.2,13.1,0,NA,NA,SE,41,ESE,S,6,6,99,59,1031,1027.6,NA,NA,2.9,12.6,No,No
2011-07-29,Albury,-1.4,14.7,0,NA,NA,E,17,NW,ESE,2,9,92,52,1028.9,1024.7,NA,NA,3.6,14.1,No,No
2014-12-28,MountGinini,5.2,18.5,0,NA,NA,WNW,30,NW,NW,7,9,71,58,NA,NA,NA,NA,11.3,15.6,No,Yes
2014-12-29,MountGinini,8.7,16.9,3.4,NA,NA,W,56,WNW,NW,15,22,98,96,NA,NA,NA,NA,9.9,13.9,Yes,Yes
2014-12-30,MountGinini,3.2,14.5,2.6,NA,NA,WSW,59,W,W,20,19,68,54,NA,NA,NA,NA,7.3,13.7,Yes,No
2008-12-17,RockBank,14.1,20.9,0,NA,NA,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,Yes
2008-12-18,RockBank,13.5,22.9,16.8,NA,NA,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,Yes
2008-12-19,RockBank,11.2,22.5,10.6,NA,NA,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,NA,2,15.5,21,Yes,No